dockernet-gaia1-1  | 4:18AM INF starting node with ABCI Tendermint in-process
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=1 module=consensus num_txs=0 root=E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205972uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=1 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B3235332031383020323030203137302031303620313938203138302032372031373220313937203938203232392032323320323032203233342031363420363020323120313138203234342038203230372032323020363720323233203337203134392036392037342032343820313033203230375D3A317D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=FDB4C8AA6AC6B41BACC562E5DFCAEAA43C1576F408CFDC43DF2595454AF867CF height=1 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=1 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=991.066471 height=2 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"A3AD2AF6B9F4BEB6757A5BEA60DF45A1B87594587F6DC48571258BFA8A909C32","parts":{"hash":"C104F79229A51CC45918CA2512BB82320498D57A09AE8F5E659183FCF45737A7","total":1}},"height":2,"pol_round":-1,"round":0,"signature":"47PLuNxl24P8lzlSvwIMxx0ja4YsEQaj1qWEYnrDTax9D8JKFBokXRoBGzxKnG8WPjrJMnzjfml8qAnFAl/FDQ==","timestamp":"2023-07-14T04:18:11.766339093Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=A3AD2AF6B9F4BEB6757A5BEA60DF45A1B87594587F6DC48571258BFA8A909C32 height=2 module=consensus
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=2 module=consensus num_txs=0 root=FDB4C8AA6AC6B41BACC562E5DFCAEAA43C1576F408CFDC43DF2595454AF867CF
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205972uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=2 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B3232322031353720313636203836203137312039342031393920343420363220323333203936203133392031352031303620323135203530203332203234342031303520363220393020323236203232372034352031393220323236203136302033352032332031353820313236203136305D3A327D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=DE9DA656AB5EC72C3EE9608B0F6AD73220F4693E5AE2E32DC0E2A023179E7EA0 height=2 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=2 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=987.995749 height=3 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"2B000B54AE72FB6F662E48B151EC1A6AD2565A922F2B4889635D82698199B8A6","parts":{"hash":"EF7DD365C101B117B0E6FE3DF4A354CFB1EB729C44F810192D4732053DDC6C66","total":1}},"height":3,"pol_round":-1,"round":0,"signature":"T2VnVxF9k0JV3SkStxWWZB/yQuL4aFbKODkPeWzBlvPC833KbhhathE7LYY6s5DPggpK0Xyti3WAF9i2BvEoDA==","timestamp":"2023-07-14T04:18:12.781329127Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=2B000B54AE72FB6F662E48B151EC1A6AD2565A922F2B4889635D82698199B8A6 height=3 module=consensus
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=3 module=consensus num_txs=0 root=DE9DA656AB5EC72C3EE9608B0F6AD73220F4693E5AE2E32DC0E2A023179E7EA0
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205972uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=3 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B3235322037332032353020383620313735203139302036332032333120313939203132312031373620313534203139342035322038302031383020323233203134322032303120352031353320313531203835203131352031353120373920313320373620313430203331203231362038375D3A337D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=FC49FA56AFBE3FE7C779B09AC23450B4DF8EC90599975573974F0D4C8C1FD857 height=3 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=3 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=994.248897 height=4 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"F170E07A70501B01195F48604ADD2A4F811D125BFB91DB0D2AECC955357B65F1","parts":{"hash":"E455B48B2888AA246129D601F433769D0ECBD767C5A9743D6EE56A9152393B55","total":1}},"height":4,"pol_round":-1,"round":0,"signature":"5g5Kuw52EZqiuaoHv/5wEJnfSvsPoP26UPf+4cbFHK3wUTPAtO6VceVl5rM7wG1czTvFVWGas2SkOFy0WEy5BQ==","timestamp":"2023-07-14T04:18:13.792021478Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=F170E07A70501B01195F48604ADD2A4F811D125BFB91DB0D2AECC955357B65F1 height=4 module=consensus
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=4 module=consensus num_txs=0 root=FC49FA56AFBE3FE7C779B09AC23450B4DF8EC90599975573974F0D4C8C1FD857
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205972uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=4 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B31383620313432203732203137342032332031313720313733203430203232203137332031393420313135203130322031303820363220313238203231342031393820363020313633203820313138203138312039352031333020313639203136382031333220333720313034203634203132375D3A347D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=BA8E48AE1775AD2816ADC273666C3E80D6C63CA30876B55F82A9A8842568407F height=4 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=4 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=987.79706 height=5 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"16E95900E7D7FDE254B21EF771787ADE6A28029FE28C9E4816CAB0D09B791822","parts":{"hash":"9A2C4124A9B2C71ACEF18AA30180BF39AA65E21A8C37258A7DA482D0334DC6DF","total":1}},"height":5,"pol_round":-1,"round":0,"signature":"KNeXzeYrKVXm0njpqfI9rZt1woaXff1lPnseCUOmG/6g1hMKvHYR53Mnpy3DAIRs1DWDZ6Juuv49/0tdz7U0BQ==","timestamp":"2023-07-14T04:18:14.807565877Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=16E95900E7D7FDE254B21EF771787ADE6A28029FE28C9E4816CAB0D09B791822 height=5 module=consensus
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=5 module=consensus num_txs=0 root=BA8E48AE1775AD2816ADC273666C3E80D6C63CA30876B55F82A9A8842568407F
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205972uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=5 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B31323520313034203133392031322033382031362038382031313220383220323235203233332031323220313238203339203237203233352031313820313939203232203232382031333320323137203135322031383420313035203234342031352035382031313120313133203134362038365D3A357D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=7D688B0C2610587052E1E97A80271BEB76C716E485D998B869F40F3A6F719256 height=5 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=5 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=987.220446 height=6 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"F9FC7FAC78AD4A368C939396F8649DA386B54A7690D7B89749985515B14D0E49","parts":{"hash":"4A53A0166011C468A62CE3A9CB498EB4541825E621632E8F8774AF73077A8694","total":1}},"height":6,"pol_round":-1,"round":0,"signature":"pQACaYdsHFI/kF26pbQ8dxCMmdfwYzXxaBqaiLoMoMSbxk5Gm+tqhByy1bru1MMgvMGAtzmtXG7kO2Y84/74AA==","timestamp":"2023-07-14T04:18:15.822389809Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=F9FC7FAC78AD4A368C939396F8649DA386B54A7690D7B89749985515B14D0E49 height=6 module=consensus
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=6 module=consensus num_txs=0 root=7D688B0C2610587052E1E97A80271BEB76C716E485D998B869F40F3A6F719256
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205972uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=6 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B3535203231332031203131362032333420343520313838203420363520323520383020323531203231203639203734203138362034203137362031383420363720363520353420323037203138312031363520373320323238203134312034342032323720313430203235345D3A367D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=37D50174EA2DBC04411950FB15454ABA04B0B8434136CFB5A549E48D2CE38CFE height=6 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=6 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=987.972802 height=7 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"479A29E03AC023CA3B23423D9761DBAC82EA210A4C9AB2813291F42E7918D104","parts":{"hash":"C42814FC0A41E91A357E33A40DFB8934AC16AA071BFE0D8EFFAF0BBD39077A96","total":1}},"height":7,"pol_round":-1,"round":0,"signature":"IbDiRHa710YxIrlcEwJEvvlr+O6QUdvjP84NLcX/Id/jsBJQh1TtV5/+evxk4wLBEJOawW3hj+8JUvVhAB3qDQ==","timestamp":"2023-07-14T04:18:16.838832356Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=479A29E03AC023CA3B23423D9761DBAC82EA210A4C9AB2813291F42E7918D104 height=7 module=consensus
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=7 module=consensus num_txs=0 root=37D50174EA2DBC04411950FB15454ABA04B0B8434136CFB5A549E48D2CE38CFE
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205972uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=7 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B38372031363920313232203332203234302032343920393920353420323820313220313920353720383620313639203136362031353820363720323330203139342031323620333520313036203234342036352031323620323320313732203230362031373520373620313733203233335D3A377D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=57A97A20F0F963361C0C133956A9A69E43E6C27E236AF4417E17ACCEAF4CADE9 height=7 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=7 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=989.115821 height=8 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"1A2F6763D88D604B14A65E48520C9B8DDDCD0522D10E2C0EB3DBAEF290F473E1","parts":{"hash":"0D413161767283D8C8D5474C09F810D68DF92653CE423703D6A4212FFB0C58D9","total":1}},"height":8,"pol_round":-1,"round":0,"signature":"CMnyGvlkeVFUmyS7fomgmPBO5IPhvzS5Py7cxDSL7Tg7YQZWLOxj9DzM4+MTwMtchieK7xA+05RzqA621IxyDw==","timestamp":"2023-07-14T04:18:17.855099331Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=1A2F6763D88D604B14A65E48520C9B8DDDCD0522D10E2C0EB3DBAEF290F473E1 height=8 module=consensus
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=8 module=consensus num_txs=0 root=57A97A20F0F963361C0C133956A9A69E43E6C27E236AF4417E17ACCEAF4CADE9
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205972uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=8 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B31383020383720323336203134302039332032343120353420323334203334203135332031303320313632203138302031313720313035203132392031323720313830203834203134332031343420323031203820323237203233352031383320333420313533203138372031353020313737203135385D3A387D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=B457EC8C5DF136EA229967A2B47569817FB4548F90C908E3EBB72299BB96B19E height=8 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=8 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=986.633741 height=9 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"BE66A8BBF09F06015DF95BE9B9CF7DC624156AE9B5CF004663651DAB94CE6ECE","parts":{"hash":"8C48635E8F32A96006590129260AE9CF92C716658B95B360382E27F794487823","total":1}},"height":9,"pol_round":-1,"round":0,"signature":"ot8HfzsSKDSg+Kdo87LXXIqzFhy75+qpJufa87k6Yj5hzQ4bmN+4AJ7QXzHhnPlvrVBd0ejpDWTZmUVz76JECA==","timestamp":"2023-07-14T04:18:18.871242444Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=BE66A8BBF09F06015DF95BE9B9CF7DC624156AE9B5CF004663651DAB94CE6ECE height=9 module=consensus
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=9 module=consensus num_txs=0 root=B457EC8C5DF136EA229967A2B47569817FB4548F90C908E3EBB72299BB96B19E
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205972uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=9 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B323220393220353620323031203335203431203131302035372031363320393120382032323620302032353020313231203136342034342037332032333020363420323139203137312032362031393420313934203135352031363920323130203133312031313820313037203230325D3A397D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=165C38C923296E39A35B08E200FA79A42C49E640DBAB1AC2C29BA9D283766BCA height=9 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=9 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=991.798595 height=10 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"5D7F5510A22027BE2A68FFDFE1305D9DEF9A1C4145C9D88065CF54A6FD3E0FD0","parts":{"hash":"CB14D28DB25D32C0ECBDC807C62AA05FCFB6E3608B90B3443EFDBD0ACD857E1E","total":1}},"height":10,"pol_round":-1,"round":0,"signature":"Beh2cE2Mzy9UENH9G401qf3hwVjJzdpjcrec7iAr8BaMjeEOPvjVY2/7RezifnqkWb/b1ewkiuy9FOULmAgjDQ==","timestamp":"2023-07-14T04:18:19.883548791Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=5D7F5510A22027BE2A68FFDFE1305D9DEF9A1C4145C9D88065CF54A6FD3E0FD0 height=10 module=consensus
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=10 module=consensus num_txs=0 root=165C38C923296E39A35B08E200FA79A42C49E640DBAB1AC2C29BA9D283766BCA
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205972uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=10 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B313439203234322033302031393220353220382037332032333220333020313636203132362037352032303320313339203235302032343620313733203132332031313420313430203331203235342032322031363620313231203330203430203130352038382031363320313834203137345D3A417D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=95F21EC0340849E81EA67E4BCB8BFAF6AD7B728C1FFE16A6791E286958A3B8AE height=10 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=10 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=993.038053 height=11 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"CCABEE3E1A240FB06B0C6BD4C8861DCFA08B4E59B2FF0CC355FC41A8FF682536","parts":{"hash":"C1DB58CF352789F20AB87CFB8568964E63302263DC763EDE7FBE9668599967A5","total":1}},"height":11,"pol_round":-1,"round":0,"signature":"rw1CvW5T31w0toTcKXkJa/P5lRpnd9/EHOYyQVKMm746q5bYP1LGoVuLa2H6OP426tZyAd56LefPpSjVcmGvCA==","timestamp":"2023-07-14T04:18:20.893996735Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=CCABEE3E1A240FB06B0C6BD4C8861DCFA08B4E59B2FF0CC355FC41A8FF682536 height=11 module=consensus
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=11 module=consensus num_txs=0 root=95F21EC0340849E81EA67E4BCB8BFAF6AD7B728C1FFE16A6791E286958A3B8AE
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205972uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=11 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B313930203737203130392034382031353120343920353820313935203130332031333220333920313134203135312031363720353520323038203132352033362031313320313633203931203130382031303820353420382032333420313833203231382031383920323238203639203139365D3A427D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=BE4D6D3097313AC36784277297A737D07D2471A35B6C6C3608EAB7DABDE445C4 height=11 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=11 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=993.910743 height=12 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"90152B4934D5A73FFBCC791E71872F3F7D87DE67D74C24EB41C345B9EADCCE98","parts":{"hash":"759649901556AB914A54A68FE679FC9780FA5488C4EC9D2BC40EEEC322310341","total":1}},"height":12,"pol_round":-1,"round":0,"signature":"jDLqMw6XHUXlZ6ZzAEXejVKNOVxgaDpRMHQO1+4ekpFlwgC60BpD0svzSyjaaFLO+e/K49Oqh6rbe9kqjUYCCA==","timestamp":"2023-07-14T04:18:21.904285921Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=90152B4934D5A73FFBCC791E71872F3F7D87DE67D74C24EB41C345B9EADCCE98 height=12 module=consensus
dockernet-gaia1-1  | 4:18AM INF finalizing commit of block hash={} height=12 module=consensus num_txs=0 root=BE4D6D3097313AC36784277297A737D07D2471A35B6C6C3608EAB7DABDE445C4
dockernet-gaia1-1  | 4:18AM INF minted coins from module account amount=205973uatom from=mint module=x/bank
dockernet-gaia1-1  | 4:18AM INF executed block height=12 module=state num_invalid_txs=0 num_valid_txs=0
dockernet-gaia1-1  | 4:18AM INF commit synced commit=436F6D6D697449447B5B3134312031323120323220393420323035203720323330203133362039302031353920363520313036203133362032323420313536203134352032333320343520323333203233382031373220313734203435203938203138382032333920323332203531203232352031323020313138203133305D3A437D
dockernet-gaia1-1  | 4:18AM INF committed state app_hash=8D79165ECD07E6885A9F416A88E09C91E92DE9EEACAE2D62BCEFE833E1787682 height=12 module=state num_txs=0
dockernet-gaia1-1  | 4:18AM INF indexed block exents height=12 module=txindex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=993.708019 height=13 module=consensus round=0 step=1
